Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Qty,Variant Price,Image Src,Image Alt Text
"Saki, HH Munro, The Chronicles of Clovis, including The Unrest-Cure, Tobermory, Filboid Studge, Sredni Vashtar and more than 20 others, 1939 facsimile (153)","Saki, HH Munro, The Chronicles of Clovis, including The Unrest-Cure, Tobermory, Filboid Studge, Sredni Vashtar and more than 20 others, 1939 facsimile (153 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/saki-hh-munro-the-chronicles-of-clovis-including-the-unrest-cure-tobermory-filboid-studge-sredni-vashtar-and-more-than-20-others-1939-facsimile-153.jpg?v=1760531276,"Saki, HH Munro, The Chronicles of Clovis, including The Unrest-Cure, Tobermory, Filboid Studge, Sredni Vashtar and more than 20 others, 1939 facsimile (153 pages)"
"Saki, HH Munro, The Chronicles of Clovis, including Tobermory, The Jesting of Arlington Stringham, Mrs Packletide's Tiger and six others, 1939 facsimile (50)","Saki, HH Munro, The Chronicles of Clovis, including Tobermory, The Jesting of Arlington Stringham, Mrs Packletide's Tiger and six others, 1939 facsimile (50 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/saki-hh-munro-the-chronicles-of-clovis-including-tobermory-the-jesting-of-arlington-stringham-mrs-packletides-tiger-and-six-others-1939-facsimile-50.jpg?v=1760531284,"Saki, HH Munro, The Chronicles of Clovis, including Tobermory, The Jesting of Arlington Stringham, Mrs Packletide's Tiger and six others, 1939 facsimile (50 pages)"
"Saki, HH Munro, The Toys of Peace, including The Mappined Life,  The Bull, The Hedgehog, Tea and 20 others, 1939 facsimile (120)","Saki, HH Munro, The Toys of Peace, including The Mappined Life,  The Bull, The Hedgehog, Tea and 20 others, 1939 facsimile (120 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/saki-hh-munro-the-toys-of-peace-including-the-mappined-life-the-bull-the-hedgehog-tea-and-20-others-1939-facsimile-120.jpg?v=1760531292,"Saki, HH Munro, The Toys of Peace, including The Mappined Life,  The Bull, The Hedgehog, Tea and 20 others, 1939 facsimile (120 pages)"
"Saki, HH Munro, The Toys of Peace, including The Mappined Life, The Seven Cream Jugs, The Bull, The Hedgehog and 29 others, 1939 facsimile (167)","Saki, HH Munro, The Toys of Peace, including The Mappined Life, The Seven Cream Jugs, The Bull, The Hedgehog and 29 others, 1939 facsimile (167 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/saki-hh-munro-the-toys-of-peace-including-the-mappined-life-the-seven-cream-jugs-the-bull-the-hedgehog-and-29-others-1939-facsimile-167.jpg?v=1760531313,"Saki, HH Munro, The Toys of Peace, including The Mappined Life, The Seven Cream Jugs, The Bull, The Hedgehog and 29 others, 1939 facsimile (167 pages)"
"Voltaire, Candide, Chapters 1-13, facsimile c. 1950 (63)","Voltaire, Candide, Chapters 1-13, facsimile c. 1950 (63 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/voltaire-candide-chapters-1-13-facsimile-c-1950-63.jpg?v=1760531320,"Voltaire, Candide, Chapters 1-13, facsimile c. 1950 (63 pages)"
"Voltaire, Candide, facsimile c. 1950 (244)","Voltaire, Candide, facsimile c. 1950 (244 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/voltaire-candide-facsimile-c-1950-244.jpg?v=1760531327,"Voltaire, Candide, facsimile c. 1950 (244 pages)"
"Voltaire, Candide, Part One, facsimile c. 1950 (159)","Voltaire, Candide, Part One, facsimile c. 1950 (159 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/voltaire-candide-part-one-facsimile-c-1950-159.jpg?v=1760531333,"Voltaire, Candide, Part One, facsimile c. 1950 (159 pages)"
"Wells, HG, 2 Stories from the collection The Stolen Bacillus, The Temptation of Harringay and The Flying Man, 1895 facsimile (31)","Wells, HG, 2 Stories from the collection The Stolen Bacillus, The Temptation of Harringay and The Flying Man, 1895 facsimile (31 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/wells-hg-2-stories-from-the-collection-the-stolen-bacillus-the-temptation-of-harringay-and-the-flying-man-1895-facsimile-31.jpg?v=1760531341,"Wells, HG, 2 Stories from the collection The Stolen Bacillus, The Temptation of Harringay and The Flying Man, 1895 facsimile (31 pages)"
"Wells, HG, 2 Stories from the collection The Stolen Bacillus, the title story and In the Avu Observatory, 1895 facsimile (55)","Wells, HG, 2 Stories from the collection The Stolen Bacillus, the title story and In the Avu Observatory, 1895 facsimile (55 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/wells-hg-2-stories-from-the-collection-the-stolen-bacillus-the-title-story-and-in-the-avu-observatory-1895-facsimile-55.jpg?v=1760531348,"Wells, HG, 2 Stories from the collection The Stolen Bacillus, the title story and In the Avu Observatory, 1895 facsimile (55 pages)"
"Wells, HG, 2 Stories from the collection The Stolen Bacillus, Triumphs of a Taxidermist and Through a Window, 1895 facsimile (42)","Wells, HG, 2 Stories from the collection The Stolen Bacillus, Triumphs of a Taxidermist and Through a Window, 1895 facsimile (42 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/wells-hg-2-stories-from-the-collection-the-stolen-bacillus-triumphs-of-a-taxidermist-and-through-a-window-1895-facsimile-42.jpg?v=1760531355,"Wells, HG, 2 Stories from the collection The Stolen Bacillus, Triumphs of a Taxidermist and Through a Window, 1895 facsimile (42 pages)"
